FIPS Code,Geography,Year,Program Type,Population
36029,Erie County,2022,Postcensal Population Estimate,948423
36031,Essex County,2022,Postcensal Population Estimate,36763
36033,Franklin County,2022,Postcensal Population Estimate,46393
36035,Fulton County,2022,Postcensal Population Estimate,52256
36037,Genesee County,2022,Postcensal Population Estimate,57398
36039,Greene County,2022,Postcensal Population Estimate,47345
36041,Hamilton County,2022,Postcensal Population Estimate,5121
36043,Herkimer County,2022,Postcensal Population Estimate,59584
36045,Jefferson County,2022,Postcensal Population Estimate,115461
36047,Kings County,2022,Postcensal Population Estimate,2589531
36049,Lewis County,2022,Postcensal Population Estimate,26595
36051,Livingston County,2022,Postcensal Population Estimate,61340
36053,Madison County,2022,Postcensal Population Estimate,67054
36055,Monroe County,2022,Postcensal Population Estimate,750887
36057,Montgomery County,2022,Postcensal Population Estimate,49333
36059,Nassau County,2022,Postcensal Population Estimate,1385294
36061,New York County,2022,Postcensal Population Estimate,1594543
36063,Niagara County,2022,Postcensal Population Estimate,210467
36065,Oneida County,2022,Postcensal Population Estimate,228358
36067,Onondaga County,2022,Postcensal Population Estimate,469728
36069,Ontario County,2022,Postcensal Population Estimate,112481
36071,Orange County,2022,Postcensal Population Estimate,406491
36073,Orleans County,2022,Postcensal Population Estimate,39163
36075,Oswego County,2022,Postcensal Population Estimate,118239
36077,Otsego County,2022,Postcensal Population Estimate,60409
36079,Putnam County,2022,Postcensal Population Estimate,98312
36081,Queens County,2022,Postcensal Population Estimate,2278558
36083,Rensselaer County,2022,Postcensal Population Estimate,159421
36085,Richmond County,2022,Postcensal Population Estimate,491358
36087,Rockland County,2022,Postcensal Population Estimate,340357
36089,St. Lawrence County,2022,Postcensal Population Estimate,107089
36091,Saratoga County,2022,Postcensal Population Estimate,238468
36093,Schenectady County,2022,Postcensal Population Estimate,159694
36095,Schoharie County,2022,Postcensal Population Estimate,30091
36097,Schuyler County,2022,Postcensal Population Estimate,17609
36099,Seneca County,2022,Postcensal Population Estimate,32586
36101,Steuben County,2022,Postcensal Population Estimate,92505
36103,Suffolk County,2022,Postcensal Population Estimate,1527974
36105,Sullivan County,2022,Postcensal Population Estimate,79735
36107,Tioga County,2022,Postcensal Population Estimate,47766
36109,Tompkins County,2022,Postcensal Population Estimate,104299
36111,Ulster County,2022,Postcensal Population Estimate,182320
36113,Warren County,2022,Postcensal Population Estimate,65427
36115,Washington County,2022,Postcensal Population Estimate,60810
36117,Wayne County,2022,Postcensal Population Estimate,90958
36119,Westchester County,2022,Postcensal Population Estimate,991736
36121,Wyoming County,2022,Postcensal Population Estimate,39601
36123,Yates County,2022,Postcensal Population Estimate,24502
36000,New York State,2023,Postcensal Population Estimate,19571216
36001,Albany County,2023,Postcensal Population Estimate,316659
36003,Allegany County,2023,Postcensal Population Estimate,46651
36005,Bronx County,2023,Postcensal Population Estimate,1356476
36007,Broome County,2023,Postcensal Population Estimate,196077
36009,Cattaraugus County,2023,Postcensal Population Estimate,75600
36011,Cayuga County,2023,Postcensal Population Estimate,74485
36013,Chautauqua County,2023,Postcensal Population Estimate,124891
36015,Chemung County,2023,Postcensal Population Estimate,81325
36017,Chenango County,2023,Postcensal Population Estimate,45920
36019,Clinton County,2023,Postcensal Population Estimate,78115
36021,Columbia County,2023,Postcensal Population Estimate,60470
36023,Cortland County,2023,Postcensal Population Estimate,45752
36025,Delaware County,2023,Postcensal Population Estimate,44410
36027,Dutchess County,2023,Postcensal Population Estimate,297150
36029,Erie County,2023,Postcensal Population Estimate,946147
36031,Essex County,2023,Postcensal Population Estimate,36775
36033,Franklin County,2023,Postcensal Population Estimate,46502
36035,Fulton County,2023,Postcensal Population Estimate,52234
36037,Genesee County,2023,Postcensal Population Estimate,57529
36039,Greene County,2023,Postcensal Population Estimate,47062
36041,Hamilton County,2023,Postcensal Population Estimate,5082
36043,Herkimer County,2023,Postcensal Population Estimate,59484
36045,Jefferson County,2023,Postcensal Population Estimate,114787
36047,Kings County,2023,Postcensal Population Estimate,2561225
36049,Lewis County,2023,Postcensal Population Estimate,26548
36051,Livingston County,2023,Postcensal Population Estimate,61158
36053,Madison County,2023,Postcensal Population Estimate,66921
36055,Monroe County,2023,Postcensal Population Estimate,748482
36057,Montgomery County,2023,Postcensal Population Estimate,49368
36059,Nassau County,2023,Postcensal Population Estimate,1381715
36061,New York County,2023,Postcensal Population Estimate,1597451
36063,Niagara County,2023,Postcensal Population Estimate,209457
36065,Oneida County,2023,Postcensal Population Estimate,227555
36067,Onondaga County,2023,Postcensal Population Estimate,467873
36069,Ontario County,2023,Postcensal Population Estimate,112494
36071,Orange County,2023,Postcensal Population Estimate,407470
36073,Orleans County,2023,Postcensal Population Estimate,39124
36075,Oswego County,2023,Postcensal Population Estimate,118162
36077,Otsego County,2023,Postcensal Population Estimate,60126
36079,Putnam County,2023,Postcensal Population Estimate,98060
36081,Queens County,2023,Postcensal Population Estimate,2252196
36083,Rensselaer County,2023,Postcensal Population Estimate,159305
36085,Richmond County,2023,Postcensal Population Estimate,490687
36087,Rockland County,2023,Postcensal Population Estimate,340807
36089,St. Lawrence County,2023,Postcensal Population Estimate,106940
36091,Saratoga County,2023,Postcensal Population Estimate,238711
36093,Schenectady County,2023,Postcensal Population Estimate,159902
36095,Schoharie County,2023,Postcensal Population Estimate,30105
36097,Schuyler County,2023,Postcensal Population Estimate,17507
36099,Seneca County,2023,Postcensal Population Estimate,32349
36101,Steuben County,2023,Postcensal Population Estimate,92162
36103,Suffolk County,2023,Postcensal Population Estimate,1523170
36105,Sullivan County,2023,Postcensal Population Estimate,79920
36107,Tioga County,2023,Postcensal Population Estimate,47715
36109,Tompkins County,2023,Postcensal Population Estimate,103558
36111,Ulster County,2023,Postcensal Population Estimate,182333
36113,Warren County,2023,Postcensal Population Estimate,65380
36115,Washington County,2023,Postcensal Population Estimate,60047
36117,Wayne County,2023,Postcensal Population Estimate,90829
36119,Westchester County,2023,Postcensal Population Estimate,990817
36121,Wyoming County,2023,Postcensal Population Estimate,39532
36123,Yates County,2023,Postcensal Population Estimate,24472
